iata_code,name,latitude_deg,longitude_deg,type,country,country_zh,iso,city,city_alt,kw
IXP,Pathankot Airport,32.233611,75.634444,medium_airport,India,印度,IN,Pathankot,,
PGH,Pantnagar Airport,29.0334,79.473701,medium_airport,India,印度,IN,Pantnagar,,Panthnagar
SXR,Srinagar International Airport,33.987099,74.7742,large_airport,India,印度,IN,Srinagar,,Srinagar Air Force Station
VSV,Shravasti Airport,27.499732,82.032927,small_airport,India,印度,IN,Shravasti,,
LPQ,Luang Phabang International Airport,19.904273,102.167191,large_airport,Laos,老挝,LA,Luang Phabang,,
LXG,Luang Namtha Airport,20.966999,101.400002,small_airport,Laos,老挝,LA,Luang Namtha,,
ODY,Oudomsay Airport,20.68269920349121,101.99400329589844,small_airport,Laos,老挝,LA,Oudomsay,,
PKZ,Pakse International Airport,15.133973,105.779871,large_airport,Laos,老挝,LA,Pakse,,
ZVK,Savannakhet Airport,16.55660057067871,104.76000213623047,medium_airport,Laos,老挝,LA,,,
NEU,Sam Neua Airport,20.4184,104.067001,medium_airport,Laos,老挝,LA,,,
VTE,Wattay International Airport,17.985052,102.566692,large_airport,Laos,老挝,LA,Vientiane,,
XKH,Xieng Khouang Airport,19.450001,103.157997,small_airport,Laos,老挝,LA,Xieng Khouang,,
VMI,Aeropuerto Nacional Doctor Juan Plate,-22.159371,-57.942395,medium_airport,Paraguay,巴拉圭,PY,Puerto Vallemi,,Aeropuerto Nacional Dr. Juan Plate
MFM,Macau International Airport,22.149599,113.592003,large_airport,"Macao, China",中国澳门,MO,Nossa Senhora do Carmo,,澳門國際機場
LTH,Long Thanh International Airport (Under Construction),10.772842,107.040596,large_airport,Vietnam,越南,VN,Ho Chi Minh City,Ho Chi Minh City (Long Thanh),
BHR,Bharatpur Airport,27.678101,84.429398,small_airport,Nepal,尼泊尔,NP,Bharatpur,,
BWA,Gautam Buddha International Airport,27.504636,83.410381,large_airport,Nepal,尼泊尔,NP,Siddharthanagar,Siddharthanagar (Bhairahawa),Bhairahawa Airport
BDP,Bhadrapur Airport,26.5708007812,88.07959747310001,small_airport,Nepal,尼泊尔,NP,Bhadrapur,,Chandragadhi Airport
DOP,Dolpa Airport,28.985659,82.818703,small_airport,Nepal,尼泊尔,NP,Dolpa,,
SIH,Silgadi Doti Airport,29.262226,80.935968,small_airport,Nepal,尼泊尔,NP,Silgadi Doti,,
JUM,Jumla Airport,29.2742,82.193298,small_airport,Nepal,尼泊尔,NP,Jumla,,
JKR,Janakpur Airport,26.708799,85.922401,medium_airport,Nepal,尼泊尔,NP,Janakpur,,
JMO,Jomsom Airport,28.780426,83.723,small_airport,Nepal,尼泊尔,NP,Jomsom,,Jomosom
KTM,Tribhuvan International Airport,27.6966,85.3591,large_airport,Nepal,尼泊尔,NP,Kathmandu,,"gaucharan, Bagmati"
LUA,Tenzing-Hillary Airport,27.686768,86.729479,medium_airport,Nepal,尼泊尔,NP,Lukla,,"Lukla, Mount Everest, Tenzing Norgay, Sir Edmund Hillary"
KEP,Nepalgunj Airport,28.1036,81.667,medium_airport,Nepal,尼泊尔,NP,Nepalgunj,,
PKR,Pokhara Domestic Airport,28.200621,83.981203,medium_airport,Nepal,尼泊尔,NP,Pokhara,,
SIF,Simara Airport,27.159803,84.980021,small_airport,Nepal,尼泊尔,NP,Simara,,
SKH,Surkhet Airport,28.586,81.636002,small_airport,Nepal,尼泊尔,NP,Surkhet,,
IMK,Simikot Airport,29.9711,81.818901,small_airport,Nepal,尼泊尔,NP,Simikot,,
TPJ,Taplejung Airport,27.3509,87.69525,medium_airport,Nepal,尼泊尔,NP,Taplejung,,Suketar Airport
TMI,Tumling Tar Airport,27.315001,87.193298,small_airport,Nepal,尼泊尔,NP,Tumling Tar,,
BIR,Biratnagar Airport,26.48150062561035,87.26399993896484,medium_airport,Nepal,尼泊尔,NP,Biratnagar,,
AGX,Agatti Airport,10.8237,72.176003,medium_airport,India,印度,IN,Agatti,,
BEP,Bellary Airport,15.162799835205078,76.88279724121094,medium_airport,India,印度,IN,Bellary,,"Jindal Vijayanagar, Vijaynagar"
BLR,Kempegowda International Airport Bengaluru,13.1979,77.706299,large_airport,India,印度,IN,Bengaluru,,Bangalore
IXX,Bidar Airport / Bidar Air Force Station,17.9081,77.487099,medium_airport,India,印度,IN,Bidar,,
VGA,Vijayawada International Airport,16.530011,80.804888,large_airport,India,印度,IN,Vijayawada,,
CJB,Coimbatore International Airport,11.03,77.043404,large_airport,India,印度,IN,Coimbatore,,
COK,Cochin International Airport,10.151047,76.400838,large_airport,India,印度,IN,Kochi,,Cochin
CCJ,Calicut International Airport,11.135996,75.955152,large_airport,India,印度,IN,Calicut,,
CDP,Kadapa Airport,14.513154,78.769183,medium_airport,India,印度,IN,Kadapa,,Cuddapah
CBD,Car Nicobar Air Force Base,9.153056,92.819273,medium_airport,India,印度,IN,IAF Camp,,Carnicobar
GOX,Manohar International Airport,15.744257,73.860625,large_airport,India,印度,IN,Mopa,,Mopa International
GBI,Kalaburagi Airport,17.308154,76.965246,small_airport,India,印度,IN,Kalaburagi,,Gulbarga
GOI,Goa Dabolim International Airport,15.380062,73.833328,large_airport,India,印度,IN,Vasco da Gama,,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ"
